Bucket Number,Lower Bucket Value,Upper Bucket Value,Count
1,416.7707727886424,9655.148229643299,934141
2,9655.148229643299,18893.525686497953,233414
3,18893.525686497953,28131.903143352607,15254
4,28131.903143352607,37370.28060020727,2663
5,37370.28060020727,46608.658057061926,1453
6,46608.658057061926,55847.03551391658,242
7,55847.03551391658,65085.412970771235,0
8,65085.412970771235,74323.79042762589,484
