Bucket Number,Lower Bucket Value,Upper Bucket Value,Count
1,526.9127094067646,12015.236449407908,294189
2,12015.236449407908,23503.560189409054,127119
3,23503.560189409054,34991.8839294102,21792
4,34991.8839294102,46480.20766941134,5085
5,46480.20766941134,57968.531409412484,969
6,57968.531409412484,69456.85514941363,484
7,69456.85514941363,80945.17888941478,0
8,80945.17888941478,92433.50262941592,242
