Bucket Number,Lower Bucket Value,Upper Bucket Value,Count
1,514.4102510490706,11746.988777082264,123245
2,11746.988777082264,22979.56730311546,18886
3,22979.56730311546,34212.145829148656,4116
4,34212.145829148656,45444.72435518185,2179
5,45444.72435518185,56677.30288121504,484
6,56677.30288121504,67909.88140724825,242
7,67909.88140724825,79142.45993328144,0
8,79142.45993328144,90375.03845931463,242
